subject,date,difficulty
Algorithms,10:30 - 10.07.2026,b
Algorithms,14:45 - 20.07.2026,g
Algorithms,09:15 - 25.07.2026,r
Databases,11:00 - 11.07.2026,g
Databases,16:20 - 19.07.2026,y
Databases,13:40 - 27.07.2026,b
Operating Systems,08:45 - 12.07.2026,r
Operating Systems,12:30 - 22.07.2026,y
Operating Systems,18:10 - 01.08.2026,g
Computer Networks,15:15 - 13.07.2026,b
Computer Networks,10:25 - 23.07.2026,g
Computer Networks,17:50 - 02.08.2026,y
Linear Algebra,09:30 - 14.07.2026,y
Linear Algebra,14:10 - 24.07.2026,r
Linear Algebra,11:45 - 03.08.2026,g
Calculus,13:20 - 15.07.2026,g
Calculus,18:30 - 25.07.2026,b
Calculus,08:15 - 04.08.2026,y
Software Engineering,10:50 - 16.07.2026,b
Software Engineering,15:40 - 26.07.2026,g
Software Engineering,19:00 - 03.08.2026,b
Artificial Intelligence,12:10 - 17.07.2026,r
Artificial Intelligence,09:55 - 28.07.2026,y
Artificial Intelligence,16:35 - 04.08.2026,g
Computer Architecture,14:30 - 18.07.2026,y
Computer Architecture,11:25 - 29.07.2026,r
Computer Architecture,17:15 - 03.08.2026,y
Discrete Mathematics,08:20 - 19.07.2026,g
Discrete Mathematics,13:55 - 30.07.2026,b
Discrete Mathematics,18:45 - 04.08.2026,g
test2,00:21 - 15.08.2026,r
